epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,262.87,1.18235,1.01609,1.49475,0.98124,1,0.995,0.24368,2.93585,1.04535,3.3491,0.00143595,0.00143595,0.00143595
16,281.2,1.14674,0.99246,1.4622,0.98443,1,0.995,0.50911,1.75594,0.72847,1.75134,0.00141945,0.00141945,0.00141945
17,299.792,1.13465,0.9233,1.45509,0.98371,1,0.995,0.54196,1.67506,0.82849,1.72355,0.00140295,0.00140295,0.00140295
18,317.508,1.0987,0.92437,1.42031,0.98459,1,0.995,0.66629,1.47648,0.69946,1.57262,0.00138644,0.00138644,0.00138644
19,336.346,1.13194,0.90828,1.44672,0.98476,1,0.995,0.597,1.60526,0.65705,1.81463,0.00136994,0.00136994,0.00136994
20,354.805,1.10722,0.93414,1.43581,0.9849,1,0.995,0.4975,1.92826,0.78367,1.87282,0.00135344,0.00135344,0.00135344
21,372.998,1.14111,0.8712,1.45669,0.98388,1,0.995,0.55316,1.7768,0.73681,1.67483,0.00133693,0.00133693,0.00133693
22,399.96,1.08875,0.87783,1.41411,0.98454,1,0.995,0.63162,1.4874,0.67335,1.44675,0.00132043,0.00132043,0.00132043
23,430.676,1.04227,0.81793,1.3986,0.98527,1,0.995,0.398,2.29513,1.02224,2.48199,0.00130393,0.00130393,0.00130393
24,457.05,1.08226,0.82439,1.39709,0.98358,1,0.995,0.31034,2.47924,0.82427,2.56275,0.00128742,0.00128742,0.00128742
25,484.622,1.03905,0.79667,1.37842,0.98582,1,0.995,0.6642,1.50413,0.68395,1.60319,0.00127092,0.00127092,0.00127092
26,518.853,1.0525,0.78321,1.39978,0.98446,1,0.995,0.43278,2.21744,0.79999,2.50799,0.00125442,0.00125442,0.00125442
27,548.056,1.06203,0.79012,1.40749,0.98329,1,0.995,0.43218,2.37496,0.81566,2.47282,0.00123791,0.00123791,0.00123791
28,578.761,1.05869,0.77026,1.38374,0.98581,1,0.995,0.70791,1.32138,0.55907,1.30396,0.00122141,0.00122141,0.00122141
29,625.199,1.01874,0.76132,1.34751,0.98534,1,0.995,0.597,1.71235,0.62717,1.66449,0.00120491,0.00120491,0.00120491
30,650.672,1.01797,0.7296,1.3417,0.98544,1,0.995,0.53321,1.86158,0.61613,1.95448,0.0011884,0.0011884,0.0011884
31,668.317,0.99392,0.74594,1.34736,0.98463,1,0.995,0.40323,2.37667,0.85592,2.66903,0.0011719,0.0011719,0.0011719
32,686.36,1.03793,0.73065,1.39223,0.98509,1,0.995,0.50944,1.98325,0.71735,1.75642,0.0011554,0.0011554,0.0011554
33,704.285,1.01111,0.75658,1.35127,0.98564,1,0.995,0.4975,2.30162,0.95746,2.39598,0.00113889,0.00113889,0.00113889
34,722.897,1.07709,0.7528,1.39552,0.98534,1,0.995,0.4975,1.99319,0.6389,2.01227,0.00112239,0.00112239,0.00112239
35,740.945,1.00453,0.71181,1.3482,0.98452,1,0.995,0.4975,2.07255,0.61905,2.14824,0.00110589,0.00110589,0.00110589
36,759.006,0.99045,0.73918,1.3295,0.98488,1,0.995,0.4975,2.05942,0.69915,2.18093,0.00108938,0.00108938,0.00108938
37,776.821,0.95685,0.68749,1.31955,0.9845,1,0.995,0.56514,1.79173,0.67344,1.71071,0.00107288,0.00107288,0.00107288
38,794.661,0.95703,0.67617,1.31378,0.98583,1,0.995,0.597,1.64127,0.54714,1.71423,0.00105638,0.00105638,0.00105638
39,812.793,0.96359,0.67507,1.28967,0.98475,1,0.995,0.68058,1.41898,0.45213,1.41805,0.00103987,0.00103987,0.00103987
40,830.591,0.9968,0.69378,1.35263,0.9842,1,0.995,0.56782,1.83359,0.50719,1.86256,0.00102337,0.00102337,0.00102337
41,848.37,0.99053,0.70884,1.33379,0.98542,1,0.995,0.398,2.40539,0.72787,2.79459,0.00100687,0.00100687,0.00100687
42,866.6,0.97365,0.64804,1.31291,0.9852,1,0.995,0.62921,1.75601,0.55705,1.74901,0.000990365,0.000990365,0.000990365
43,884.625,0.93313,0.6221,1.29783,0.98553,1,0.995,0.6965,1.56675,0.52607,1.57103,0.000973861,0.000973861,0.000973861
44,902.273,0.91353,0.62823,1.29032,0.98534,1,0.995,0.53401,1.96879,0.59185,2.0493,0.000957358,0.000957358,0.000957358
45,920.007,0.9166,0.62356,1.28129,0.98573,1,0.995,0.53432,1.72651,0.49683,1.62657,0.000940855,0.000940855,0.000940855
46,937.766,0.91122,0.66218,1.27632,0.98515,1,0.995,0.73081,1.23453,0.46361,1.28146,0.000924352,0.000924352,0.000924352
47,955.572,0.926,0.64577,1.27811,0.98502,1,0.995,0.796,1.04861,0.41809,1.19819,0.000907848,0.000907848,0.000907848
48,973.512,0.88558,0.63168,1.27694,0.98502,1,0.995,0.597,1.71165,0.47329,1.8302,0.000891345,0.000891345,0.000891345
49,991.499,0.88216,0.62454,1.25491,1,1,0.995,0.77422,0.99694,0.40748,1.20605,0.000874842,0.000874842,0.000874842
50,1009.43,0.92274,0.65397,1.28421,0.98516,1,0.995,0.71509,1.08559,0.35204,1.22613,0.000858338,0.000858338,0.000858338
51,1027.39,0.91736,0.66889,1.28909,0.98491,1,0.995,0.63382,1.41776,0.44265,1.36532,0.000841835,0.000841835,0.000841835
52,1045.48,0.91554,0.64536,1.27319,0.98534,1,0.995,0.63121,1.43215,0.42156,1.37916,0.000825332,0.000825332,0.000825332
53,1063.37,0.8964,0.65155,1.25955,0.98551,1,0.995,0.50921,1.87822,0.48238,1.98429,0.000808828,0.000808828,0.000808828
54,1081.12,0.85393,0.58718,1.22966,0.986,1,0.995,0.66499,1.43084,0.45617,1.451,0.000792325,0.000792325,0.000792325
55,1098.95,0.83528,0.59115,1.21111,0.98528,1,0.995,0.63084,1.60778,0.48975,1.66768,0.000775822,0.000775822,0.000775822
56,1116.76,0.86792,0.62235,1.23454,0.98526,1,0.995,0.69792,1.31445,0.49497,1.48837,0.000759318,0.000759318,0.000759318
57,1136.37,0.82779,0.58262,1.21644,0.98601,1,0.995,0.597,1.71272,0.51987,1.8675,0.000742815,0.000742815,0.000742815
58,1157.78,0.85396,0.6023,1.24673,0.98556,1,0.995,0.5891,1.69341,0.50985,1.76741,0.000726312,0.000726312,0.000726312
59,1175.98,0.89859,0.59623,1.26249,0.98511,1,0.995,0.796,1.03507,0.48597,1.22403,0.000709809,0.000709809,0.000709809
60,1193.81,0.86119,0.60949,1.22807,0.98507,1,0.995,0.796,1.03026,0.47377,1.19801,0.000693305,0.000693305,0.000693305
61,1211.62,0.8708,0.60095,1.25459,0.98563,1,0.995,0.597,1.73649,0.50406,1.88123,0.000676802,0.000676802,0.000676802
62,1229.36,0.8588,0.59032,1.22572,0.9848,1,0.995,0.6965,1.30677,0.48412,1.36462,0.000660299,0.000660299,0.000660299
63,1247.36,0.84692,0.56909,1.22949,0.98525,1,0.995,0.61409,1.60548,0.47605,1.64531,0.000643795,0.000643795,0.000643795
64,1265.34,0.85814,0.60263,1.23758,0.9842,1,0.995,0.6965,1.37778,0.48223,1.41138,0.000627292,0.000627292,0.000627292
65,1283.53,0.87854,0.58208,1.26272,0.98385,1,0.995,0.73061,1.29747,0.55873,1.34372,0.000610789,0.000610789,0.000610789
66,1301.54,0.84088,0.58301,1.23287,0.9847,1,0.995,0.71383,1.01347,0.47845,1.24412,0.000594286,0.000594286,0.000594286
67,1319.64,0.88731,0.57713,1.26699,0.98217,1,0.995,0.69839,1.17467,0.55374,1.30448,0.000577782,0.000577782,0.000577782
68,1337.6,0.92733,0.60171,1.26539,0.98479,1,0.995,0.6965,1.45027,0.53122,1.53959,0.000561279,0.000561279,0.000561279
69,1355.37,0.8863,0.58597,1.23968,0.9839,1,0.995,0.75237,1.02031,0.53942,1.19243,0.000544776,0.000544776,0.000544776
70,1373.22,0.90137,0.56807,1.25596,0.98453,1,0.995,0.6965,1.41201,0.46295,1.46863,0.000528272,0.000528272,0.000528272
71,1392.14,0.83381,0.54028,1.23394,0.98412,1,0.995,0.73036,1.35105,0.59268,1.39405,0.000511769,0.000511769,0.000511769
72,1411.95,0.81255,0.55668,1.19934,0.98525,1,0.995,0.75232,1.15465,0.49974,1.22171,0.000495266,0.000495266,0.000495266
73,1429.72,0.81898,0.57453,1.21872,0.98502,1,0.995,0.597,1.54404,0.51914,1.63196,0.000478762,0.000478762,0.000478762
74,1447.67,0.78525,0.53939,1.18663,0.98501,1,0.995,0.80786,0.90922,0.54571,1.13464,0.000462259,0.000462259,0.000462259
75,1465.67,0.80285,0.54791,1.20285,0.98546,1,0.995,0.70811,1.07867,0.53008,1.24354,0.000445756,0.000445756,0.000445756
76,1483.48,0.80284,0.54903,1.18929,0.98552,1,0.995,0.81307,0.86105,0.46655,1.13717,0.000429253,0.000429253,0.000429253
77,1501.26,0.79626,0.57537,1.19189,0.98541,1,0.995,0.70807,1.11862,0.39811,1.29953,0.000412749,0.000412749,0.000412749
78,1518.97,0.73412,0.53736,1.14536,0.98604,1,0.995,0.796,1.04554,0.48298,1.21995,0.000396246,0.000396246,0.000396246
79,1536.67,0.75987,0.53744,1.17754,0.9845,1,0.995,0.68069,1.19358,0.61271,1.2421,0.000379743,0.000379743,0.000379743
80,1554.78,0.81414,0.54853,1.18151,0.9852,1,0.995,0.70798,1.34631,0.72519,1.39968,0.000363239,0.000363239,0.000363239
81,1572.44,0.75988,0.52376,1.16122,0.97425,1,0.995,0.73169,1.16421,0.68201,1.2375,0.000346736,0.000346736,0.000346736
82,1590.41,0.74821,0.5297,1.16972,0.98565,1,0.995,0.73036,1.0833,0.47778,1.20345,0.000330233,0.000330233,0.000330233
83,1608.01,0.75782,0.52504,1.15533,0.98546,1,0.995,0.75222,0.94904,0.45694,1.1498,0.000313729,0.000313729,0.000313729
84,1626.04,0.71021,0.49638,1.14899,0.9855,1,0.995,0.796,1.07017,0.52045,1.20969,0.000297226,0.000297226,0.000297226
85,1643.83,0.78437,0.5218,1.19859,0.98523,1,0.995,0.74114,0.96376,0.4249,1.14887,0.000280723,0.000280723,0.000280723
86,1661.82,0.72976,0.50712,1.13038,0.9856,1,0.995,0.76343,0.98706,0.45495,1.1644,0.00026422,0.00026422,0.00026422
87,1679.44,0.70869,0.49692,1.14207,0.98545,1,0.995,0.66493,1.04559,0.63966,1.21849,0.000247716,0.000247716,0.000247716
88,1697.36,0.73144,0.51627,1.1469,0.98558,1,0.995,0.7528,1.12925,0.51493,1.23029,0.000231213,0.000231213,0.000231213
89,1713.59,0.72311,0.50482,1.12812,0.97494,1,0.995,0.73141,1.1052,0.52957,1.21798,0.00021471,0.00021471,0.00021471
90,1728.91,0.68928,0.4763,1.13802,0.9804,1,0.995,0.73263,1.10658,0.57883,1.22703,0.000198206,0.000198206,0.000198206
91,1769.19,0.54819,0.347,1.03531,0.98383,1,0.995,0.66492,1.13444,0.8039,1.26588,0.000181703,0.000181703,0.000181703
92,1785.49,0.54686,0.34318,1.01328,0.98484,1,0.995,0.69811,1.11423,0.74479,1.25471,0.0001652,0.0001652,0.0001652
93,1800.8,0.55127,0.34054,1.03945,0.98538,1,0.995,0.7306,1.08591,0.58086,1.24024,0.000148696,0.000148696,0.000148696
94,1819.04,0.54062,0.33193,1.0123,0.98525,1,0.995,0.76455,1.02831,0.59742,1.21056,0.000132193,0.000132193,0.000132193
95,1836.1,0.55277,0.35006,1.03796,0.9853,1,0.995,0.7644,1.04255,0.53053,1.21833,0.00011569,0.00011569,0.00011569
96,1852.84,0.54595,0.34019,1.00888,0.98559,1,0.995,0.73043,1.2244,0.58078,1.31704,9.91865e-05,9.91865e-05,9.91865e-05
97,1869.64,0.5238,0.32074,0.99454,0.98416,1,0.995,0.76435,1.14937,0.68435,1.29002,8.26832e-05,8.26832e-05,8.26832e-05
98,1885.57,0.52825,0.33171,1.01634,0.9855,1,0.995,0.7644,1.10751,0.64453,1.26357,6.61799e-05,6.61799e-05,6.61799e-05
99,1901.43,0.50391,0.33373,0.99649,0.98343,1,0.995,0.73043,1.25111,0.81539,1.34003,4.96766e-05,4.96766e-05,4.96766e-05
100,1917.65,0.50462,0.32484,0.99205,0.98534,1,0.995,0.73041,1.13619,0.67628,1.27134,3.31733e-05,3.31733e-05,3.31733e-05
