epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2327,1.70844,2.68837,2.04891,0.65402,1,0.995,0.22262,2.13624,3.31613,2.48584,0.000544771,0.000544771,0.000544771
2,32.2977,1.375,2.01301,1.68575,0.62032,0.66667,0.55693,0.05679,3.1833,2.6384,4.46834,0.00108954,0.00108954,0.00108954
3,47.3979,1.38803,1.86843,1.6783,0.97517,1,0.995,0.25056,2.33041,4.12401,3.34959,0.00162331,0.00162331,0.00162331
4,62.4657,1.30717,1.65793,1.59244,0.98196,1,0.995,0.2035,2.45898,2.53562,3.05701,0.00161749,0.00161749,0.00161749
5,78.7049,1.25407,1.53465,1.57071,0.9783,1,0.995,0.50873,1.5994,1.80391,1.83716,0.00160099,0.00160099,0.00160099
6,97.1104,1.28037,1.43116,1.56671,0.95574,1,0.995,0.22566,2.41115,1.82276,2.5024,0.00158448,0.00158448,0.00158448
7,115.538,1.26194,1.30892,1.56452,0.9817,1,0.995,0.53108,1.84,1.00509,1.76403,0.00156798,0.00156798,0.00156798
8,133.892,1.29874,1.31014,1.61635,0.97539,1,0.995,0.29876,2.55219,2.14824,3.0531,0.00155148,0.00155148,0.00155148
9,151.85,1.28426,1.24674,1.5641,0.01156,0.66667,0.01141,0.00157,4.55444,2.30629,6.49873,0.00153497,0.00153497,0.00153497
10,170.142,1.23769,1.23062,1.5326,0.98022,1,0.995,0.45952,2.08394,1.1065,2.20791,0.00151847,0.00151847,0.00151847
11,188.706,1.14835,1.10758,1.46605,0.98445,1,0.995,0.2985,2.66044,1.35977,3.36274,0.00150197,0.00150197,0.00150197
12,206.978,1.19668,1.10472,1.50974,0.98171,1,0.995,0.46846,1.82012,1.04101,1.7482,0.00148546,0.00148546,0.00148546
13,226.057,1.15465,1.01728,1.4571,0.98269,1,0.995,0.597,1.76194,0.85886,1.85324,0.00146896,0.00146896,0.00146896
14,244.694,1.1899,1.00305,1.5096,0.98337,1,0.995,0.4975,1.94047,0.90533,1.84918,0.00145246,0.00145246,0.00145246
