epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,619.099,0.89864,0.63826,1.25979,0.98432,1,0.995,0.73013,1.15398,0.42369,1.21775,0.000940855,0.000940855,0.000940855
46,632.353,0.88486,0.62771,1.24993,0.98377,1,0.995,0.86328,0.59253,0.39772,1.02089,0.000924352,0.000924352,0.000924352
47,645.682,0.91153,0.68842,1.25787,0.98388,1,0.995,0.71915,1.03733,0.45942,1.19454,0.000907848,0.000907848,0.000907848
48,659.239,0.901,0.63712,1.25312,0.98252,1,0.995,0.73017,1.29037,0.5166,1.35009,0.000891345,0.000891345,0.000891345
49,672.218,0.86345,0.60396,1.23776,0.98379,1,0.995,0.73043,1.17838,0.44539,1.26025,0.000874842,0.000874842,0.000874842
50,685.747,0.88278,0.635,1.23228,0.98427,1,0.995,0.7306,1.27161,0.47018,1.33404,0.000858338,0.000858338,0.000858338
51,699.785,0.89171,0.63585,1.23624,0.98561,1,0.995,0.8955,0.45697,0.38287,0.96389,0.000841835,0.000841835,0.000841835
52,712.348,0.94099,0.68957,1.27598,0.98461,1,0.995,0.80954,0.98873,0.37433,1.18248,0.000825332,0.000825332,0.000825332
53,722.116,0.858,0.62688,1.21214,0.98457,1,0.995,0.81341,0.82254,0.37458,1.10979,0.000808828,0.000808828,0.000808828
54,731.739,0.86866,0.59358,1.24325,0.98549,1,0.995,0.71384,1.33175,0.48377,1.4175,0.000792325,0.000792325,0.000792325
55,742.335,0.84679,0.61449,1.22331,0.98509,1,0.995,0.90729,0.57328,0.31989,0.99016,0.000775822,0.000775822,0.000775822
56,754.054,0.8997,0.6452,1.25347,0.98427,1,0.995,0.80777,0.69263,0.32269,1.02936,0.000759318,0.000759318,0.000759318
57,765.876,0.85269,0.60513,1.22972,0.9858,1,0.995,0.8955,0.46583,0.2945,0.96147,0.000742815,0.000742815,0.000742815
58,778.036,0.81043,0.5814,1.19772,0.98584,1,0.995,0.80891,0.80902,0.37242,1.09594,0.000726312,0.000726312,0.000726312
59,789.799,0.82738,0.57103,1.20822,0.98562,1,0.995,0.83083,0.93699,0.35714,1.18218,0.000709809,0.000709809,0.000709809
60,801.826,0.83444,0.58456,1.21808,0.98549,1,0.995,0.73092,1.01447,0.39544,1.20214,0.000693305,0.000693305,0.000693305
61,814.56,0.86462,0.60335,1.24374,0.98446,1,0.995,0.78651,0.80097,0.40303,1.15085,0.000676802,0.000676802,0.000676802
62,827.037,0.79959,0.57253,1.19748,0.98171,1,0.995,0.80763,0.5927,0.39262,1.01512,0.000660299,0.000660299,0.000660299
63,839.807,0.78212,0.56524,1.17754,0.98497,1,0.995,0.85201,0.61934,0.32732,1.011,0.000643795,0.000643795,0.000643795
